CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
peugeot 3008,61186011,Peugeot,3008,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,221,108,Euro 6,30372,01/12/2022,Used,5.5,39299,0,1598,Adaptive cruise control; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor; Blind spot assist; Hill-start assist; Front collision warning system
porsche cayenne,61186007,Porsche,Cayenne,Blue,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,250,209,Euro 6,66290,01/02/2018,Used,9.2,59599,0,2995,Air suspension; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; El. tailgate
skoda kodiaq,61186010,Skoda,Kodiaq,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,143,Euro 6d,10750,01/04/2023,Used,6.9,44149,1,1498,LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot
land-rover range-rover-evoque,61186012,Land Rover,Range Rover Evoque,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,110,149,Euro 6,135000,01/11/2019,Used,5.6,32349,0,1999,LED headlights; Voice control; Bluetooth; Leather; Automatic A/C; High beam assist; Rain sensor; Light sensor; Lane assist; Multifunctional steering wheel
porsche cayenne,61186009,Porsche,Cayenne,Black,Beige interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,340,74,Euro 6d,23678,01/09/2020,Used,3.1,88699,0,2995,Air suspension; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Voice control
citroen c3,61185985,Citroen,C3,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,108,Euro 6,18327,01/09/2022,Used,5.4,16799,1,1199,Bluetooth; USB
renault megane,61185982,Renault,Megane,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,85,102,Euro 6,119477,01/06/2019,Used,3.9,12599,1,1461,Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Multifunctional steering wheel
renault captur,61185992,Renault,Captur,Blue,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,67,121,Euro 6,24760,01/05/2022,Used,5.3,19849,1,999,LED headlights; Light sensor; Lane assist; Side mirrors with electic adjustment; On-board computer; Start-stop system
jeep wrangler,61185973,Jeep,Wrangler,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,280,222,Euro 6d,8000,01/02/2023,Used,9,77449,1,1995,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel
bmw 430,61185972,BMW,430,Black,Other interior color,Cloth interior,Sedans / saloons,2/3 doors,5,Petrol,Automatic,4x2,185,140,Euro 6,45040,01/09/2020,Used,6.1,33249,0,1998,LED headlights; Keyless entry; Keyless ignition; Navigation system; El. tailgate; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; High beam assist
volvo v90,61185971,Volvo,V90,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x4,251,136,Euro 6d,31147,01/10/2021,Used,5.2,52599,1,1969,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
peugeot 208,61185964,Peugeot,208,White,Black interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,97,No emission class,5869,01/07/2022,Used,5.3,19999,0,1199,Daytime running lights
ford focus,61185959,Ford,Focus,Black,Other interior color,Other interior material,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,110,113,Euro 6d-TEMP,107000,01/07/2020,Used,4.6,17449,0,1997,LED headlights; Adaptive cruise control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Parking sensors; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
opel karl,61185970,Opel,Karl,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,110,Euro 6d-TEMP,62186,01/02/2019,Used,4.8,10549,0,999,Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Alarm; Start-stop system; Front electric windows; Central locking with remote
opel mokka,61185968,Opel,Mokka,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,75,104,Euro 6d-TEMP,10,01/05/2023,New,4.6,29999,0,1199,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor
smart fortwo,61185967,Smart,ForTwo,Black,Black interior,Cloth interior,Hatchback,2/3 doors,2,Electric,Automatic,4x2,60,0,Euro 6,24996,01/03/2022,Used,5.534431978,20999,1,1499,Bluetooth; USB
mini cooper-s-countryman,61185962,MINI,Cooper S Countryman,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,92,126,Euro 6,56700,01/11/2020,Used,5.5,33049,1,1499,Bluetooth; Multifunctional steering wheel; Daytime running lights; Alloy wheels
nissan juke,61185960,Nissan,Juke,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,85,129,Euro 6,73000,01/10/2018,Used,5.7,13799,0,1197,Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Side mirrors with electic adjustment; CD player; Front electric windows; Alloy wheels
renault captur,61185958,Renault,Captur,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,70,111,Euro 6,58203,01/11/2020,Used,4.2,20399,0,1461,USB
ford fiesta,61185966,Ford,Fiesta,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,91,114,Euro 6,59300,01/11/2020,Used,5.2,16849,0,999,Bluetooth; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system; Front electric windows
bmw 320-gran-turismo,61185961,BMW,320 Gran Turismo,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,140,113,Euro 6,160000,01/03/2018,Used,4.3,18899,2,1995,LED headlights; Electric adjustable front seats; Heated front seats; Head-up display; Voice control; Navigation system; El. tailgate; Sport front seats; Bluetooth; Automatic 2-zones air conditioning
hyundai i30,61185949,Hyundai,i30,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Manual,4x2,88,111,Euro 6d,15072,01/08/2022,Used,4.9,19749,1,998,Heated front seats; Apple CarPlay; Android auto; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel
citroen c3,61185952,Citroen,C3,Beige,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,75,96,Euro 6,40740,01/11/2022,Used,4.3,17249,1,1499,Traffic sign recognition; Automatic A/C; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; USB; Front electric windows
bmw 530,61185955,BMW,530,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,210,0,No emission class,9615,01/06/2022,Used,4.8,56399,1,2993,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto
bmw x3,61185939,BMW,X3,Blue,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,135,No emission class,58739,01/05/2020,Used,5.1,43999,0,1995,Adaptive cruise control; Heated front seats; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Multifunctional steering wheel; Start-stop system; Front electric windows
skoda superb,61185947,Skoda,Superb,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x2,110,125,Euro 6,77752,01/08/2019,Used,5.5,19999,0,1498,Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system
audi a1,61185950,Audi,A1,Black,Black interior,Cloth interior,Hatchback,2/3 doors,4,Petrol,Manual,4x2,63,118,Euro 5,56000,01/11/2011,Used,5.1,10899,0,1197,Keyless entry; Heated front seats; Integrated music streaming; Keyless ignition; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; On-board computer; Alarm
kia soul,61185943,Kia,Soul,Red,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Electric,Automatic,4x2,150,0,No emission class,15,01/09/2023,New,5.534431978,40549,0,1689.229062,LED headlights; Keyless entry; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition
ford transit-custom,61185951,Ford,Transit Custom,Silver,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x2,96,169,Euro 6d,10,01/10/2023,New,8.3,71199,1,1997,Heated front seats; Apple CarPlay; Android auto; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment
porsche macan,61185942,Porsche,Macan,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,180,186,Euro 6,37400,01/01/2019,Used,8.2,61599,0,1984,Air suspension; LED headlights; Bose audio; Heated front seats; Panoramic roof; Heated steering wheel; Traffic sign recognition; Multifunctional steering wheel
volkswagen t6-california,61185946,Volkswagen,T6 California,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Manual,4x4,110,196,Euro 6d,10,01/07/2023,New,7.5,60599,1,1968,Heated front seats; Apple CarPlay; Android auto; Voice control; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel
fiat 500,61185938,Fiat,500,Orange,Black interior,Cloth interior,Hatchback,2/3 doors,5,Petrol,Manual,4x2,52,88,Euro 6,0,01/08/2023,New,4.7,15949,0,999,Bluetooth; USB
ford mustang,61185948,Ford,Mustang,Blue,Black interior,Cloth interior,Coupe,2/3 doors,4,Petrol,Manual,4x2,320,299,Euro 6,44476,01/11/2016,Used,13.5,50149,0,4951,Keyless ignition; Voice control; Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; Alarm; CD player; Front electric windows
peugeot 208,61185944,Peugeot,208,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,94,Euro 6,8906,01/09/2022,Used,5.3,16949,0,1199,Heated front seats; Apple CarPlay; Android auto; Parking cameras; Bluetooth; Automatic lights; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
smart fortwo,61185954,Smart,ForTwo,White,Black interior,Cloth interior,Hatchback,2/3 doors,2,Petrol,Automatic,4x2,66,122,Euro 6,17558,01/09/2019,Used,5.3,18849,1,898,Heated front seats; Integrated music streaming; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
opel astra,61185953,Opel,Astra,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,96,99,Euro 6,12850,01/04/2021,Used,4.3,20449,2,1199,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Heated steering wheel; Glare-free high beam headlights; Traffic sign recognition
dr-automobiles dr-4.0,61185941,DR Automobiles,DR 4.0,Grey,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,LPG,Manual,4x2,83,0,No emission class,12943,01/07/2022,Used,5,19949,0,1500,Apple CarPlay; Android auto; Panoramic roof; Bluetooth; Leather; Rain sensor; Light sensor; Multifunctional steering wheel; Leather steering wheel; On-board computer
bmw x3,61185922,BMW,X3,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,185,164,Euro 6,14172,01/12/2018,Used,6.9,56449,0,1998,Electric adjustable front seats; Heated front seats; Head-up display; Heated steering wheel; Paddle shifters; Automatic A/C; Autom. dimming side mirros; Side mirrors with electic adjustment; Alarm; Ambient lighting
peugeot 208,61185933,Peugeot,208,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,0,Euro 6,8143,01/10/2022,Used,5.534431978,27849,1,1499,Head-up display; Keyless ignition; Traffic sign recognition; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system
hyundai i20,61185931,Hyundai,i20,White,Grey interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,62,112,Euro 6,58889,01/02/2016,Used,4.8,9849,0,1248,Side mirrors with electic adjustment; Daytime running lights; On-board computer; Alarm; Start-stop system; CD player; Front electric windows
renault clio,61185937,Renault,Clio,Blue,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,121,Euro 6,2,01/09/2023,New,5.3,25449,0,999,LED headlights; Keyless entry; Adaptive cruise control; Bose audio; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
mercedes-benz c-300,61185927,Mercedes-Benz,C 300,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Hybrid,Automatic,4x4,230,14,Euro 6d,9000,01/06/2023,Demonstration car,0.6,63499,1,1999,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats
seat ateca,61185934,Seat,Ateca,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,124,Euro 6,80000,01/04/2018,Used,5.4,23149,1,1395,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Bluetooth
bmw x3,61185936,BMW,X3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,140,126,Euro 6,50995,01/12/2020,Used,4.8,40749,0,1995,Alloy wheels
fiat 500c,61185926,Fiat,500C,Black,Other interior color,Cloth interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,51,114,Euro 6d-TEMP,19000,01/07/2020,Used,4.9,17949,1,1242,Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel
bmw 430,61185972,BMW,430,Black,Other interior color,Cloth interior,Sedans / saloons,2/3 doors,5,Petrol,Automatic,4x2,185,140,Euro 6,45040,01/09/2020,Used,6.1,33249,0,1998,LED headlights; Keyless entry; Keyless ignition; Navigation system; El. tailgate; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; High beam assist
volvo v90,61185971,Volvo,V90,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x4,251,136,Euro 6d,31147,01/10/2021,Used,5.2,52599,1,1969,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
peugeot 208,61185964,Peugeot,208,White,Black interior,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,97,No emission class,5869,01/07/2022,Used,5.3,19999,0,1199,Daytime running lights
ford focus,61185959,Ford,Focus,Black,Other interior color,Other interior material,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,110,113,Euro 6d-TEMP,107000,01/07/2020,Used,4.6,17449,0,1997,LED headlights; Adaptive cruise control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Parking sensors; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
opel karl,61185970,Opel,Karl,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,110,Euro 6d-TEMP,62186,01/02/2019,Used,4.8,10549,0,999,Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Alarm; Start-stop system; Front electric windows; Central locking with remote
opel mokka,61185968,Opel,Mokka,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,75,104,Euro 6d-TEMP,10,01/05/2023,New,4.6,29999,0,1199,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor
smart fortwo,61185967,Smart,ForTwo,Black,Black interior,Cloth interior,Hatchback,2/3 doors,2,Electric,Automatic,4x2,60,0,Euro 6,24996,01/03/2022,Used,5.534431978,20999,1,1499,Bluetooth; USB
mini cooper-s-countryman,61185962,MINI,Cooper S Countryman,Silver,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,92,126,Euro 6,56700,01/11/2020,Used,5.5,33049,1,1499,Bluetooth; Multifunctional steering wheel; Daytime running lights; Alloy wheels
hyundai i30,61185949,Hyundai,i30,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Hybrid,Manual,4x2,88,111,Euro 6d,15072,01/08/2022,Used,4.9,19749,1,998,Heated front seats; Apple CarPlay; Android auto; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel
citroen c3,61185952,Citroen,C3,Beige,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,75,96,Euro 6,40740,01/11/2022,Used,4.3,17249,1,1499,Traffic sign recognition; Automatic A/C; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; USB; Front electric windows
