,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
2380,110 kW,,,Automatic,4/5 doors,Kodiaq,Used,,114 000 km,,,133 g/km,,1/2018,,,,,,Diesel,4x2,,,SUV / offroad,Skoda,,,skoda kodiaq,EUR,,1 968 ccm,TMBJJ7NS4J8090325,61184489,LED headlights; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Light sensor,,28399,5.4 l/100km (combined),,Cloth interior,White,,5,,
2381,74 kW,,,Manual,4/5 doors,208,Used,,42 117 km,,,86 g/km,,3/2021,,,,,Euro 6,Diesel,4x2,,,Hatchback,Peugeot,,,peugeot 208,EUR,,1 499 ccm,not published by the seller,61184492,Heated front seats; Head-up display; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic A/C; Automatic lights,,20549,4.2 l/100km (combined),,,Blue,,5,12/2024,
2382,96 kW,,,Automatic,4/5 doors,C4 X,Used,,3 402 km,,,126 g/km,,3/2023,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Citroen,,,citroen c4-x,EUR,,1 499 ccm,not published by the seller,61184499,Adaptive cruise control; Head-up display; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Rear parking camera; Automatic lights,,30249,4.8 l/100km (combined),,,Grey,1,5,12/2024,
2383,120 kW,,,Automatic,4/5 doors,A 200,Used,,10 000 km,,,138 g/km,,10/2022,,,Italy,,Euro 6,Petrol,4x2,,,Sedans / saloons,Mercedes-Benz,Black interior,,mercedes-benz a-200,EUR,1375,1 332 ccm,not published by the seller,61184488,Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Night vision assist; Panoramic roof; Voice control,Metallic,38399,6.1 l/100km (combined); 6.1 l/100km (city); 6.1 l/100km ,,Part leather interior,Grey,,5,,
2384,75 kW,,,Manual,4/5 doors,Berlingo,Used,,75 149 km,,,111 g/km,,6/2020,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Citroen,,,citroen berlingo,EUR,,1 499 ccm,not published by the seller,61184497,Traffic sign recognition; Automatic lights; Lane assist; Hill-start assist; Front collision warning system; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; USB,,19849,4.4 l/100km (combined),,,Blue,1,5,12/2024,
2385,96 kW,,,Manual,4/5 doors,308,Used,,112 565 km,,,111 g/km,,10/2017,,,Netherlands,,Euro 6,Petrol,4x2,,,Station Wagon,Peugeot,Other interior color,,peugeot 308,EUR,1165,1 199 ccm,not published by the seller,61184476,,Metallic,12799,4.8 l/100km (combined); 4.8 l/100km (city); 4.8 l/100km ,,Cloth interior,Grey,,5,,
2386,70 kW,,,Manual,4/5 doors,Trafic,Used,,82 425 km,,,164 g/km,,11/2017,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Renault,Black interior,,renault trafic,EUR,1725,1 598 ccm,not published by the seller,61184481,Navigation system; Bluetooth; Rain sensor; Parking sensors; CD player,,7249,6.3 l/100km (combined),,Cloth interior,Yellow,,3,,
2387,235 kW,Full hybrid,No,Automatic,4/5 doors,GLE 350,Used,,79 038 km,,,20 g/km,,10/2020,,,,,Euro 6,Hybrid,4x4,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz gle-350,EUR,,1 950 ccm,not published by the seller,61184478,,,85499,,,,White,1,5,12/2025,86 km
2388,61 kW,,,Manual,4/5 doors,C3,Used,,10 km,,,100 g/km,,10/2023,,,,,No emission class,Petrol,4x2,,,Hatchback,Citroen,Other interior color,,citroen c3,EUR,,1 199 ccm,not published by the seller,61184483,Bluetooth; USB; AUX,,15399,5.5 l/100km (combined),,Other interior material,Black,,5,,
2389,96 kW,,,Automatic,4/5 doors,3008,Used,,54 491 km,,,122 g/km,,2/2019,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Peugeot,,,peugeot 3008,EUR,,1 199 ccm,not published by the seller,61184471,Head-up display; Automatic multi-zone A/C; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment,,26299,6.5 l/100km (combined),,,Red,,5,12/2024,
2390,96 kW,,,Manual,4/5 doors,Renegade,Used,,37 000 km,,,0 g/km,,1/2023,,,,,Euro 6d-TEMP,Diesel,4x2,,,SUV / offroad,Jeep,Other interior color,,jeep renegade,EUR,,1 600 ccm,not published by the seller,61184468,Android auto; Bluetooth; USB,,31099,,,Other interior material,Grey,,,,
2391,150 kW,,,Automatic,2/3 doors,A5,Used,,24 146 km,,,131 g/km,,3/2023,,,,,Euro 6d,Diesel,4x4,,,Sedans / saloons,Audi,Black interior,,audi a5,EUR,,1 968 ccm,not published by the seller,61184467,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; Glare-free high beam headlights,Metallic,44449,5 l/100km (combined),,Alcantara interior,Black,1,5,,
2392,176 kW,,,Automatic,4/5 doors,Tiguan Allspace,,,43 250 km,,,170 g/km,,10/2019,,,,,Euro 6d-TEMP,Diesel,4x4,,,SUV / offroad,Volkswagen,Black interior,,volkswagen tiguan-allspace,EUR,,1 968 ccm,not published by the seller,61184487,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,Metallic,36599,6.5 l/100km (combined); 7.7 l/100km (city); 5.8 l/100km ,,Other interior material,Black,,5,,
2393,88 kW,,,Manual,4/5 doors,i20,,,12 584 km,,,94 g/km,,5/2023,,,,,Euro 6d,Petrol,4x2,,,Hatchback,Hyundai,Other interior color,,hyundai i20,EUR,,998 ccm,not published by the seller,61184484,Parking assist system self-steering; LED headlights; Digital cockpit; Navigation system; Heated steering wheel; Traffic sign recognition; Automatic A/C; High beam assist; Rain sensor; Light sensor,,24449,4.1 l/100km (combined),,Other interior material,Blue,1,5,,
2394,59 kW,,,Manual,4/5 doors,Polo,Used,,116 700 km,,,110 g/km,,1/2020,,,,,Euro 6d-TEMP,Petrol,4x2,,,Sedans / saloons,Volkswagen,Black interior,,volkswagen polo,EUR,1105,999 ccm,not published by the seller,61184482,Heated front seats; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; Cornering lights; On-board computer; Alarm; Fatigue warning system; CD player; USB,Metallic,11899,4.8 l/100km (combined),,Cloth interior,White,,5,,
2395,53 kW,,,Manual,4/5 doors,Aygo,Used,,6 124 km,,,93 g/km,,12/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Toyota,,,toyota aygo,EUR,,998 ccm,not published by the seller,61184485,Daytime running lights; Leather steering wheel; Alloy wheels,Metallic,12199,4.1 l/100km (combined); 4.9 l/100km (city); 3.6 l/100km ,,,Grey,,4,12/2024,
2396,81 kW,,,Manual,4/5 doors,C3 Aircross,Used,,44 100 km,,,94 g/km,,5/2021,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Citroen,,,citroen c3-aircross,EUR,,1 499 ccm,not published by the seller,61184474,Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel,,18999,3.6 l/100km (combined),,Cloth interior,Grey,,5,12/2024,
2397,96 kW,,,Automatic,4/5 doors,3008,Used,,43 990 km,,,108 g/km,,3/2022,,,,,,Diesel,4x2,,,SUV / offroad,Peugeot,,,peugeot 3008,EUR,,1 499 ccm,not published by the seller,61184473,Navigation system; Bluetooth; Rear parking camera; USB; Front electric windows; Alloy wheels,,31499,5.5 l/100km (combined),,,Grey,,5,02/2024,
2398,88 kW,,,Manual,4/5 doors,A4,Used,,114 000 km,,,151 g/km,,6/2014,,,,,Euro 5,Petrol,4x2,,,Sedans / saloons,Audi,Other interior color,,audi a4,EUR,1505,1 798 ccm,not published by the seller,61184479,Navigation system; Bluetooth; Xenon headlights; Sport-suspension system; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Cornering lights,,12899,6.5 l/100km (combined); 6.5 l/100km (city); 6.5 l/100km ,,Cloth interior,Grey,,5,,
2399,85 kW,,,Automatic,,A 180,Used,,11 370 km,,,0 g/km,,4/2023,,,Spain,,No emission class,Diesel,4x2,,,Hatchback,Mercedes-Benz,Other interior color,,mercedes-benz a-180,EUR,,1 950 ccm,not published by the seller,61184486,Keyless entry; Keyless ignition; Automatic A/C; USB; Front electric windows,,36099,,,Other interior material,,,,,
2400,143 kW,Mild hybrid,No,Automatic,4/5 doors,CX-5,,,99 km,,,163 g/km,,12/2023,,,,,No emission class,Petrol,4x4,,,SUV / offroad,Mazda,Grey interior,,mazda cx-5,EUR,,2 488 ccm,not published by the seller,61184463,LED headlights; Heated front seats; Head-up display; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); El. tailgate; Induction charging for smartphones,Metallic,41599,7.2 l/100km (combined); 9.5 l/100km (city); 6.1 l/100km ,,Other interior material,Black,1,5,,
2401,202 kW,,,Automatic,4/5 doors,Ghibli,,,143 613 km,02/2025,,0 g/km,,5/2017,,,,,Euro 6,Diesel,4x2,,,Sedans / saloons,Maserati,Black interior,,maserati ghibli,EUR,,2 987 ccm,not published by the seller,61184459,Ventilated front seats; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Integrated music streaming; Keyless ignition; Voice control; Navigation system,Metallic,35649,,,Full leather interior,Black,,5,,
2402,66 kW,,,Manual,4/5 doors,Captur,Used,,73 796 km,,,123 g/km,,2/2019,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Renault,,,renault captur,EUR,,898 ccm,not published by the seller,61184464,Automatic A/C; Rain sensor; Autom. dimming side mirros,,13699,5.5 l/100km (combined); 6.6 l/100km (city); 4.8 l/100km ,,,Grey,1,5,06/2024,
2403,90 kW,,,Automatic,4/5 doors,Passat,Used,,125 000 km,,,143 g/km,,4/2011,,,,,No emission class,Petrol,4x2,,,Station Wagon,Volkswagen,Other interior color,,volkswagen passat,EUR,1511,1 390 ccm,not published by the seller,61184460,Parking assist system self-steering; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Automatic parking brake,,11899,6 l/100km (combined); 6 l/100km (city); 6 l/100km ,,Other interior material,Grey,,5,,
2404,150 kW,,,Automatic,4/5 doors,A6,New,,5 km,,,129 g/km,,1/2023,,,,,,Diesel,4x4,,,Station Wagon,Audi,,,audi a6,EUR,,1 968 ccm,WAUZZZF27RN028739,61184462,Bang & Olufsen audio; Traffic sign recognition; Automatic A/C; Multifunctional steering wheel; Alarm,,67799,4.9 l/100km (combined),,,Black,,5,,
2405,441 kW,,,Automatic,4/5 doors,RSQ8,Used,,100 000 km,,,277 g/km,,8/2020,,,,,Euro 6d-TEMP,Petrol,4x4,,,SUV / offroad,Audi,Black interior,,audi rsq8,EUR,2390,3 996 ccm,not published by the seller,61184457,Ventilated front seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bang & Olufsen audio; Heated front seats,Metallic,99299,12.1 l/100km (combined); 12 l/100km (city); 12 l/100km ,,Full leather interior,Black,,5,,
2406,100 kW,,,Automatic,4/5 doors,Expert,Used,,3 301 km,,,0 g/km,,11/2022,,,,,Euro 6,Electric,4x2,,,Cargo VAN,Peugeot,Other interior color,,peugeot expert,EUR,1844,1 997 ccm,not published by the seller,61184458,Navigation system; Bluetooth; Rain sensor; Light sensor; Multifunctional steering wheel; Heated windshield; CD player; AUX,Metallic,43849,,,Cloth interior,Grey,,,,
2407,85 kW,,,Manual,4/5 doors,Megane,Used,,27 500 km,,,104 g/km,,12/2022,,,Spain,,No emission class,Diesel,4x2,,,Hatchback,Renault,Other interior color,,renault megane,EUR,1346,1 461 ccm,not published by the seller,61184447,,,24499,4.6 l/100km (combined),,Other interior material,,,5,,
2408,147 kW,,,Automatic,4/5 doors,Octavia,New,,50 km,,,133 g/km,,9/2023,,,,,No emission class,Diesel,4x4,,,Station Wagon,Skoda,Black interior,,skoda octavia,EUR,,1 968 ccm,not published by the seller,61184452,LED headlights; Digital cockpit; Adaptive cruise control; Bang & Olufsen audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system,Metallic,47499,5.7 l/100km (combined),,Cloth interior,White,,5,,
2409,66 kW,,,Manual,4/5 doors,Captur,Used,,33 981 km,,,111 g/km,,7/2019,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Renault,,,renault captur,EUR,,1 461 ccm,not published by the seller,61184440,Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Front electric windows,,15399,4.2 l/100km (combined),,,Grey,1,5,12/2024,
2410,101 kW,,,Manual,4/5 doors,118,Used,,6 800 km,,,129 g/km,,3/2023,,,,,No emission class,Petrol,4x2,,,Hatchback,BMW,Other interior color,,bmw 118,EUR,,1 499 ccm,not published by the seller,61184442,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Navigation system; Sport front seats; Multifunctional steering wheel; Alarm,,36949,5.4 l/100km (combined),,Other interior material,,,5,,
2411,51 kW,,,Manual,2/3 doors,500,Used,,30 842 km,,,88 g/km,,6/2021,,,,,Euro 6,Petrol,4x2,,,Hatchback,Fiat,Other interior color,,fiat 500,EUR,905,999 ccm,not published by the seller,61184445,Apple CarPlay; Android auto; Panoramic roof; Bluetooth; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Start-stop system; USB; Front electric windows,,16949,4.7 l/100km (combined),,Velour interior,White,,4,,
2412,110 kW,,,Automatic,4/5 doors,Golf,Demonstration car,,22 900 km,,,124 g/km,,1/2023,,,,,Euro 6d,Petrol,4x2,,,Station Wagon,Volkswagen,Grey interior,,volkswagen golf,EUR,,1 498 ccm,not published by the seller,61184439,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,Metallic,35249,5.4 l/100km (combined); 6.1 l/100km (city); 4.2 l/100km ,,Cloth interior,Black,1,5,,
2413,140 kW,Mild hybrid,No,Automatic,4/5 doors,320,,,74 400 km,04/2024,,117 g/km,,4/2021,,,,,Euro 6d,Diesel,4x4,,,Station Wagon,BMW,Other interior color,,bmw 320,EUR,,1 995 ccm,not published by the seller,61184441,Laser headlights; Digital cockpit; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Panoramic roof,Metallic,37249,4.5 l/100km (combined); 5.1 l/100km (city); 4.1 l/100km ,,Alcantara interior,Black,1,5,,
2414,85 kW,,,Manual,2/3 doors,Adam,,,121 000 km,,,116 g/km,,1/2017,,,,,Euro 6,Petrol,4x2,,,Hatchback,Opel,Black interior,,opel adam,EUR,,999 ccm,not published by the seller,61184438,Heated front seats; Voice control; Heated steering wheel; Bluetooth; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,Metallic,10899,4.9 l/100km (combined); 6.1 l/100km (city); 4.1 l/100km ,,Part leather interior,Blue,1,4,,
2415,110 kW,,No,Automatic,4/5 doors,XV,Demonstration car,,3 500 km,,13 kWh,149 g/km,,6/2023,,,,,Euro 6d,Hybrid,4x4,,,SUV / offroad,Subaru,Black interior,,subaru xv,EUR,,1 995 ccm,not published by the seller,61184444,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Paddle shifters; Bluetooth; Automatic A/C,Metallic,34199,7.9 l/100km (combined); 7.3 l/100km (city); 6.1 l/100km ,,Part leather interior,White,1,5,,
2416,88 kW,,,Manual,4/5 doors,XCeed,Used,,45 527 km,,,124 g/km,,6/2021,,,Spain,,No emission class,Petrol,4x2,,,SUV / offroad,Kia,Other interior color,,kia xceed,EUR,1347,998 ccm,not published by the seller,61184453,Bluetooth; Automatic A/C; High beam assist; Light sensor; Multifunctional steering wheel; Front electric windows; Alloy wheels,,18199,5.4 l/100km (combined); 5.5 l/100km (city); 5.5 l/100km ,,Other interior material,Blue,,5,,
2417,88 kW,,,Manual,4/5 doors,ProCeed,Used,,23 963 km,,,118 g/km,,6/2022,,,,,Euro 6d-TEMP,Petrol,4x2,,,Station Wagon,Kia,Other interior color,,kia proceed,EUR,1275,998 ccm,not published by the seller,61184448,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,Metallic,31549,5.2 l/100km (combined),,Full leather interior,Green,,5,,
2418,215 kW,,No,Automatic,4/5 doors,X3,,,55 135 km,,,0 g/km,80 kW,6/2020,,Lithium-ion (Li-ion),,156 min,Euro 6d,Hybrid,4x4,,,SUV / offroad,BMW,Black interior,,bmw x3,EUR,,1 998 ccm,not published by the seller,61184450,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming,Metallic,42549,,,Part leather interior,Grey,1,5,,
2419,96 kW,,,Manual,4/5 doors,Transit Custom,Used,,89 626 km,,,171 g/km,,5/2018,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Ford,Other interior color,,ford transit-custom,EUR,2031,1 997 ccm,not published by the seller,61184434,Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Cornering lights; On-board computer; Alarm,,38349,6.6 l/100km (combined); 6.6 l/100km (city); 6.6 l/100km ,,Other interior material,Grey,,5,,
2420,110 kW,,,Automatic,4/5 doors,Golf,Demonstration car,,22 900 km,,,124 g/km,,1/2023,,,,,Euro 6d,Petrol,4x2,,,Station Wagon,Volkswagen,Grey interior,,volkswagen golf,EUR,,1 498 ccm,not published by the seller,61184439,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,Metallic,35249,5.4 l/100km (combined); 6.1 l/100km (city); 4.2 l/100km ,,Cloth interior,Black,1,5,,
2421,85 kW,,,Manual,2/3 doors,Adam,,,121 000 km,,,116 g/km,,1/2017,,,,,Euro 6,Petrol,4x2,,,Hatchback,Opel,Black interior,,opel adam,EUR,,999 ccm,not published by the seller,61184438,Heated front seats; Voice control; Heated steering wheel; Bluetooth; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,Metallic,10899,4.9 l/100km (combined); 6.1 l/100km (city); 4.1 l/100km ,,Part leather interior,Blue,1,4,,
2422,110 kW,,No,Automatic,4/5 doors,XV,Demonstration car,,3 500 km,,13 kWh,149 g/km,,6/2023,,,,,Euro 6d,Hybrid,4x4,,,SUV / offroad,Subaru,Black interior,,subaru xv,EUR,,1 995 ccm,not published by the seller,61184444,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Paddle shifters; Bluetooth; Automatic A/C,Metallic,34199,7.9 l/100km (combined); 7.3 l/100km (city); 6.1 l/100km ,,Part leather interior,White,1,5,,
2423,88 kW,,,Manual,4/5 doors,XCeed,Used,,45 527 km,,,124 g/km,,6/2021,,,Spain,,No emission class,Petrol,4x2,,,SUV / offroad,Kia,Other interior color,,kia xceed,EUR,1347,998 ccm,not published by the seller,61184453,Bluetooth; Automatic A/C; High beam assist; Light sensor; Multifunctional steering wheel; Front electric windows; Alloy wheels,,18199,5.4 l/100km (combined); 5.5 l/100km (city); 5.5 l/100km ,,Other interior material,Blue,,5,,
2424,88 kW,,,Manual,4/5 doors,ProCeed,Used,,23 963 km,,,118 g/km,,6/2022,,,,,Euro 6d-TEMP,Petrol,4x2,,,Station Wagon,Kia,Other interior color,,kia proceed,EUR,1275,998 ccm,not published by the seller,61184448,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,Metallic,31549,5.2 l/100km (combined),,Full leather interior,Green,,5,,
2425,215 kW,,No,Automatic,4/5 doors,X3,,,55 135 km,,,0 g/km,80 kW,6/2020,,Lithium-ion (Li-ion),,156 min,Euro 6d,Hybrid,4x4,,,SUV / offroad,BMW,Black interior,,bmw x3,EUR,,1 998 ccm,not published by the seller,61184450,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming,Metallic,42549,,,Part leather interior,Grey,1,5,,
2426,132 kW,,,Automatic,4/5 doors,Range Rover Evoque,,,55 950 km,,,145 g/km,,12/2020,,,,,No emission class,Diesel,4x4,,,SUV / offroad,Land Rover,Black interior,,land-rover range-rover-evoque,EUR,,1 999 ccm,not published by the seller,61184437,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,Metallic,43699,5.7 l/100km (combined); 6.7 l/100km (city); 5.1 l/100km ,,Full leather interior,Grey,,5,,
2427,110 kW,,,Automatic,4/5 doors,XV,Used,,10 300 km,,,149 g/km,,3/2023,,,,,Euro 6d,Hybrid,4x4,,,SUV / offroad,Subaru,Black interior,,subaru xv,EUR,1553,1 995 ccm,not published by the seller,61184428,LED headlights; Adaptive cruise control; Heated front seats; Heated steering wheel; Paddle shifters; Bluetooth; Light sensor; Side mirrors with electic adjustment; Front electric windows; Alloy wheels,Metallic,34299,6.5 l/100km (combined); 6.5 l/100km (city); 6.5 l/100km ,,Cloth interior,Grey,,5,,
2428,240 kW,,,Automatic,4/5 doors,A6,,,66 000 km,,,169 g/km,,1/2017,,,,,Euro 6,Diesel,4x4,,,Station Wagon,Audi,Black interior,,audi a6,EUR,,2 967 ccm,not published by the seller,61184429,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats,Metallic,45299,6.4 l/100km (combined); 7.5 l/100km (city); 5.5 l/100km ,,Full leather interior,White,1,5,,
2429,60 kW,,No,Automatic,2/3 doors,ForTwo,,100000 km,25 000 km,,18 kWh,0 g/km,,11/2020,,Lithium-ion (Li-ion),,,No emission class,Electric,4x2,1 h,,Hatchback,Smart,Black interior,,smart fortwo,EUR,,,not published by the seller,61184431,Voice control; Bluetooth; Hill-start assist; Multifunctional steering wheel; Daytime running lights; Leather steering wheel; On-board computer; Front electric windows; Alloy wheels,,10999,,,Cloth interior,Black,1,2,,
2430,250 kW,,,Automatic,4/5 doors,540,,,75 907 km,12/2023,,139 g/km,,12/2020,,,,,Euro 6,Diesel,4x4,,,Station Wagon,BMW,Black interior,,bmw 540,EUR,,2 993 ccm,not published by the seller,61184427,Laser headlights; Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,Metallic,55249,5.3 l/100km (combined); 6.6 l/100km (city); 4.5 l/100km ,,Full leather interior,Grey,1,5,,
2431,60 kW,,,Manual,4/5 doors,2008,Used,,85 000 km,,,114 g/km,,9/2014,,,,,Euro 5,Petrol,4x2,,,SUV / offroad,Peugeot,Other interior color,,peugeot 2008,EUR,1130,1 199 ccm,not published by the seller,61184425,Navigation system; Bluetooth; Automatic A/C; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Alarm; Start-stop system,,9899,4.9 l/100km (combined); 4.9 l/100km (city); 4.9 l/100km ,,Cloth interior,White,,5,,
2432,96 kW,,,Manual,4/5 doors,3008,Used,,86 190 km,,,104 g/km,,6/2019,,,Italy,,No emission class,Diesel,4x2,,,SUV / offroad,Peugeot,Black interior,,peugeot 3008,EUR,1492,1 499 ccm,not published by the seller,61184436,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition,Metallic,24549,3.9 l/100km (combined); 3.9 l/100km (city); 3.9 l/100km ,,Full leather interior,White,,5,,
2433,96 kW,,,Manual,4/5 doors,Transit Custom,Used,,89 626 km,,,171 g/km,,5/2018,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Ford,Other interior color,,ford transit-custom,EUR,2031,1 997 ccm,not published by the seller,61184434,Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Cornering lights; On-board computer; Alarm,,38349,6.6 l/100km (combined); 6.6 l/100km (city); 6.6 l/100km ,,Other interior material,Grey,,5,,
2434,147 kW,,,Manual,4/5 doors,Puma,New,,50 km,,,155 g/km,,9/2023,,,,,Euro 6d-TEMP,Petrol,4x2,,,SUV / offroad,Ford,Other interior color,,ford puma,EUR,,1 496 ccm,not published by the seller,61184432,LED headlights; Keyless entry; Heated front seats; Keyless ignition; Heated steering wheel; Automatic A/C; Light sensor; Lane assist; Parking sensors; Start-stop system,,39649,6.8 l/100km (combined); 7.6 l/100km (city); 5 l/100km ,,Cloth interior,Blue,,5,,
2435,74 kW,,,Manual,4/5 doors,Fiesta,,,33 220 km,,,105 g/km,,4/2015,,,,,Euro 5,Petrol,4x2,,,Hatchback,Ford,Black interior,,ford fiesta,EUR,,998 ccm,not published by the seller,61184430,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer,Metallic,10899,4.6 l/100km (combined); 5.9 l/100km (city); 3.7 l/100km ,,Cloth interior,Grey,1,5,,
2436,121 kW,,,Automatic,4/5 doors,CX-5,Used,,53 763 km,,,149 g/km,,12/2020,,,Spain,,No emission class,Petrol,4x2,,,SUV / offroad,Mazda,Other interior color,,mazda cx-5,EUR,1518,1 998 ccm,not published by the seller,61184435,Adaptive cruise control; Heated front seats; Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Alloy wheels,,27249,6.8 l/100km (combined); 6.4 l/100km (city); 6.4 l/100km ,,Other interior material,White,,5,,
2437,96 kW,,,Automatic,4/5 doors,4,Used,,50 633 km,,,136 g/km,,4/2022,,,,,Euro 6,Petrol,4x2,,,Hatchback,DS Automobiles,,,ds-automobiles 4,EUR,,1 199 ccm,not published by the seller,61184426,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Paddle shifters; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist,,30449,5.7 l/100km (combined),,,Grey,,5,12/2025,
2438,96 kW,,,Automatic,4/5 doors,308,Used,,94 536 km,,,92 g/km,,3/2020,,,,,Euro 6d,Diesel,4x2,,,Hatchback,Peugeot,Black interior,,peugeot 308,EUR,1394,1 499 ccm,not published by the seller,61184417,Parking assist system self-steering; Digital cockpit; Apple CarPlay; Android auto; Voice control; Navigation system; Glare-free high beam headlights; Paddle shifters; Traffic sign recognition; Bluetooth,Metallic,14349,3.6 l/100km (combined); 3.6 l/100km (city); 3.6 l/100km ,,Cloth interior,Black,,5,,
